.Clostridium._innocuum_group	.Eubacterium._brachy_group	.Eubacterium._coprostanoligenes_group	.Eubacterium._eligens_group	.Eubacterium._hallii_group	DMM_k=2
X000045r	0	0	0	0	0	2
X000640r	0	0	0	0	0	1
X006057r	0	0	0	0	0	1
X006839r	0	0	0	0	0	1
X010185r	0	0	0	0	0	2
X010365r	0	0	0	0	0	1
X011443r	0	0	0	0	0	1
X011623r	0	0	0	0	0	1
X011711r	0	0	0	0	0	2
X012132r	0	0	0	0	0	1
X012226r	0	0	0	0	0	1
X10001	0	0	0	0	0	1
X10007	0	0	0	0	0	1
X10019	0	0	0	0	0	2
X10034	0	0	0	0	0	1
X10035	0	0	0	0	0	1
X10045	0	0	0	0	0	1
X10121	0	0	0	0	0	2
X10123	0	0	0	0	0	2
X10125	0	0	0	0	0	2
X10151	0	0	0	0	0	2
X10153	0	0	1	0	0	1
X10155	0	0	0	0	0	2
X10181	0	0	0	0	0	1
X10183	0	0	0	0	0	2
X10211	0	0	0	0	0	1
X10213	0	0	0	0	0	1
X10215	0	0	0	0	0	2
X10271	0	0	0	0	0	1
X10273	0	0	0	0	0	1
X10275	0	0	0	0	0	1
X10301	0	0	2	0	0	1
X10303	0	0	0	0	0	2
X10305	0	0	0	0	0	1
X10361	0	0	0	0	0	1
X10363	0	0	0	0	0	1
X10601	0	0	0	0	0	1
X10603	0	0	0	0	0	1
X10605	0	0	1	0	0	1
X107	0	0	0	0	0	1
X109	0	0	0	0	0	1
X11069	0	0	0	0	0	1
X11070	0	0	0	0	0	2
X11075	0	0	0	0	0	2
X11091	0	0	0	0	0	1
X11096	0	0	0	0	0	2
X11108	0	0	0	0	0	1
X11120	0	0	0	0	0	1
X11126	0	0	0	0	0	1
X11132	0	0	0	0	0	2
X11201	0	0	0	0	0	1
X11203	0	0	0	0	0	1
X11205	0	0	0	0	0	1
X11232	0	0	0	0	0	1
X11233	0	0	0	0	0	1
X11235	0	0	0	0	0	1
X11268	0	0	0	0	0	1
X11270	0	0	0	0	0	1
X11272	0	0	0	0	0	1
X11298	0	0	0	0	0	1
X11300	0	0	0	0	0	1
X11302	0	0	0	0	0	1
X11381	0	0	0	0	0	2
X11383	0	0	0	0	0	2
X11385	0	0	0	0	0	1
X11412	0	0	0	0	0	2
X11413	0	0	0	0	0	2
X11415	0	0	0	0	0	2
X11442	0	0	0	0	0	1
X11445	0	0	0	0	0	1
X11472	0	0	0	0	0	1
X11473	0	0	0	0	0	1
X11475	0	0	0	0	0	1
X11532	0	0	0	0	0	2
X11533	0	0	0	0	0	2
X11535	0	0	0	0	0	2
X11561	0	0	0	0	0	2
X11563	0	0	0	0	0	2
X11565	0	0	0	0	0	2
X11591	0	0	0	0	0	1
X11593	0	0	0	0	0	1
X11595	0	0	0	0	0	2
X11621	0	0	0	0	0	2
X11625	0	0	0	0	0	1
X11651	0	0	0	0	0	1
X11653	0	0	0	0	0	1
X11655	0	0	0	0	0	2
X11681	0	0	0	0	0	1
X11683	0	0	0	0	0	1
X11685	0	0	0	0	0	1
X11713	0	0	0	0	0	2
X11715	0	0	0	0	0	2
X11741	0	0	0	0	0	1
X11743	0	0	0	0	0	1
X11745	0	0	0	0	0	2
X11771	0	0	0	0	0	2
X11773	0	0	0	0	0	1
X11775	0	0	0	0	0	2
X11801	0	0	0	0	0	2
X11803	0	0	0	0	0	1
X11811	0	0	0	0	0	1
X11831	0	0	0	0	0	2
X11833	0	0	0	0	0	2
X11835	0	0	0	0	0	2
X11921	0	0	0	0	0	1
X11923	0	0	0	0	0	1
X11925	0	0	0	0	0	2
X11951	0	0	0	0	0	2
X11953	0	0	0	0	0	2
X11955	0	0	0	0	0	2
X11981	0	0	0	0	0	2
X11983	0	0	0	0	0	2
X11985	0	0	0	0	0	2
X12101	0	0	0	0	0	1
X12102	0	0	0	0	0	2
X12113	0	0	0	0	0	2
X12131	0	0	0	0	0	1
X12143	0	0	0	0	0	1
X122	0	0	0	0	0	1
X12225	0	0	0	0	0	1
X12238	0	0	0	0	0	2
X12253	0	0	0	0	0	1
X12255	0	0	0	0	0	1
X12267	0	0	0	0	0	1
X12371	0	0	0	0	0	1
X12373	0	0	0	0	0	1
X12375	0	0	0	0	0	1
X12402	0	0	0	0	0	1
X12403	0	0	0	0	0	2
X12405	0	0	0	0	0	2
X12432	0	0	0	0	0	2
X12433	0	0	0	0	0	2
X12435	0	0	0	0	0	2
X12492	0	0	0	0	0	1
X12493	0	0	0	0	0	1
X12495	0	0	0	0	0	1
X12522	0	0	0	0	0	1
X12523	0	0	0	0	0	1
X12525	0	0	0	0	0	2
X12582	0	0	0	0	0	1
X12583	0	0	0	0	0	1
X12585	0	0	0	0	0	1
X12612	0	0	0	0	0	1
X12613	0	0	0	0	0	1
X12615	0	0	0	0	0	1
X12641	0	0	0	0	0	1
X12642	0	0	0	0	0	2
X12644	0	0	0	0	0	1
X12671	0	0	0	0	0	1
X12673	0	0	0	0	0	1
X12675	0	0	0	0	0	1
X131	0	0	0	0	0	2
X134	0	0	0	0	0	2
X136	0	0	0	0	0	1
X15	0	0	0	0	0	2
X1506	0	0	0	0	0	2
X1514	0	0	0	0	0	1
X1517	0	0	0	0	0	2
X1518	0	0	0	0	0	2
X156	0	0	0	0	0	2
X1566	0	0	0	0	0	1
X1574	0	0	0	0	0	1
X1576	0	0	0	0	0	1
X1578	0	0	0	0	0	1
X158	0	0	0	0	0	2
X1597	0	0	0	0	0	2
X1600	0	0	0	0	0	1
X1608	0	0	0	0	0	2
X1610	0	0	0	0	0	1
X1716	0	0	0	0	0	2
X1721	0	0	0	0	0	1
X188	0	0	0	0	0	1
X19	0	0	0	0	0	2
X191	0	0	0	0	0	1
X198	0	0	0	0	0	1
X199	0	0	0	0	0	1
X21	0	0	0	0	0	2
X335	0	0	0	0	0	1
X338	0	0	0	0	0	1
X36	0	0	0	0	0	1
X37	0	0	0	0	0	1
X426	0	0	0	0	0	2
X428	0	0	0	0	0	1
X47	0	0	0	0	0	1
X5036	0	0	0	0	0	2
X5038	0	0	0	0	0	1
X5067	0	0	0	0	0	1
X5075	0	0	0	0	0	1
X5097	0	0	0	0	0	1
X5099	0	0	0	0	0	1
X5153	0	0	0	0	0	1
X5159	0	0	0	0	0	1
X5187	0	0	0	0	0	1
X5195	0	0	0	0	0	1
X5216	0	0	0	0	0	1
X5224	0	0	0	0	0	2
X5241	0	0	0	0	0	1
X5247	0	0	0	0	0	1
X5277	0	0	0	0	0	1
X5283	0	0	0	0	0	1
X5305	0	0	0	0	0	1
X5308	0	0	0	0	0	1
X5337	0	0	0	0	0	1
X5338	0	0	0	0	0	1
X5364	0	0	0	0	0	2
X5367	0	0	0	0	0	1
X5425	0	0	0	0	0	1
X5433	0	0	0	0	0	1
X544	0	0	0	0	0	1
X5457	0	0	0	0	0	1
X548	0	0	0	0	0	1
X5480	0	0	0	0	0	1
X5485	0	0	0	0	0	1
X5487	0	0	0	0	0	1
X550	0	0	0	0	0	1
X5515	0	0	0	0	0	1
X5517	0	0	0	0	0	1
X552	0	0	0	0	0	1
X5545	0	0	0	0	0	1
X5553	0	0	0	0	0	1
X5577	0	0	0	0	0	1
X5580	0	0	0	0	0	1
X5601	0	0	0	0	0	1
X5606	0	0	0	0	0	2
X5637	0	0	0	0	0	1
X5639	0	0	0	0	0	1
X5665	0	0	0	0	0	1
X5668	0	0	0	0	0	1
X5696	0	0	0	0	0	1
X5705	0	0	0	0	0	1
X5727	0	0	0	0	0	2
X573	0	0	0	0	0	1
X5750	0	0	0	0	0	1
X5752	0	0	0	0	0	1
X577	0	0	0	0	0	1
X5779	0	0	0	0	0	1
X5781	0	0	0	0	0	1
X5788	0	0	0	0	0	1
X5846	0	0	0	0	0	2
X5851	0	0	0	0	0	2
X5902	0	0	0	0	0	1
X5904	0	0	0	0	0	1
X5984	0	0	0	0	0	1
X5995	0	0	0	0	0	1
X5997	0	0	0	0	0	2
X6024	0	0	0	0	0	2
X6028	0	0	0	0	0	1
X6063	0	0	0	0	0	1
X6081	0	0	0	0	0	1
X6092	0	0	0	0	0	1
X6111	0	0	0	0	0	1
X6117	0	0	0	0	0	1
X636	0	0	0	0	0	1
X666	0	0	0	0	0	1
X669	0	0	0	0	0	1
X6843	0	0	0	0	0	1
X6924	0	0	0	0	0	1
X6925	0	0	0	0	0	1
X6957	0	0	0	0	0	2
X6960	0	0	0	0	0	2
X6988	0	0	0	0	0	2
X6990	0	0	0	0	0	2
X7	0	0	0	0	0	2
X7111	0	0	0	0	0	1
X7113	0	0	0	0	0	2
X7141	0	0	0	0	0	1
X7149	0	0	0	0	0	1
X7162	0	0	0	0	0	1
X7172	0	0	0	0	0	1
X7221	0	0	0	0	0	2
X7225	0	0	0	0	0	2
X8331	0	0	0	0	0	1
X8337	0	0	0	0	0	1
X8375	0	0	0	0	0	1
X8385	0	0	0	0	0	1
X8397	0	0	0	0	0	1
X8401	0	0	0	0	0	1
X8423	0	0	0	0	0	1
X8432	0	0	0	0	0	1
X8486	0	0	0	0	0	1
X8487	0	0	0	0	0	1
X8541	0	0	0	0	0	1
X8549	0	0	0	0	0	1
X97	0	0	0	0	0	1
X99	0	0	0	0	0	1
