Isolate	Genus	label
Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia n.sp. 20925_1_25
Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156
Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157
Bacillus_circulans_27098_8_36	Niallia	Niallia circulans 27098_8_36
Cupriavidus_gilardii_27098_8_120	Cupriavidus	Cupriavidus gilardii 27098_8_120
Cutibacterium_acnes_20925_1_38	Cutibacterium	Cutibacterium acnes 20925_1_38
Cutibacterium_acnes_20925_1_68	Cutibacterium	Cutibacterium acnes 20925_1_68
Fusobacterium_pseudoperiodonticum_27098_8_131	Fusobacterium	Fusobacterium periodonticum 27098_8_131
Fusobacterium_pseudoperiodonticum_27098_8_59	Fusobacterium	Fusobacterium n.sp. 27098_8_59
Gemella_haemolysans_20925_1_85	Gemella	Gemella n.sp. 20925_1_85
Gemella_haemolysans_27098_8_149	Gemella	Gemella n.sp. 27098_8_149
Gemella_haemolysans_27098_8_155	Gemella	Gemella n.sp. 27098_8_155
Gemella_morbillorum_27098_8_92	Gemella	Gemella n.sp. 27098_8_92
Gemella_sanguinis_20925_1_41	Gemella	Gemella sanguinis_ 20925_1_41
Gemella_sanguinis_20925_1_65	Gemella	Gemella sanguinis 20925_1_65
Gemella_sanguinis_20925_1_66	Gemella	Gemella sanguinis 20925_1_66
Gemella_sanguinis_27098_8_105	Gemella	Gemella sanguinis 27098_8_105
Gemella_sanguinis_27098_8_106	Gemella	Gemella sanguinis 27098_8_106
Granulicatella_adiacens_20925_1_19	Granulicatella	Granulicatella adiacens 20925_1_19
Granulicatella_adiacens_20925_1_28	Granulicatella	Granulicatella n.sp. 20925_1_28
Granulicatella_adiacens_20925_1_45	Granulicatella	Granulicatella n.sp. 20925_1_45
Haemophilus_parahaemolyticus_27098_8_141	Haemophilus	Haemophilus parahaemolyticus 27098_8_141
Haemophilus_parainfluenzae_27098_8_127	Haemophilus	Haemophilus n.sp. 27098_8_127
Haemophilus_parainfluenzae_27098_8_33	Haemophilus	Haemophilus parainfluenzae 27098_8_33
Haemophilus_paraphrohaemolyticus_27098_8_118	Haemophilus	Haemophilus paraphrohaemolyticus 27098_8_118
Haemophilus_sputorum_20925_1_15	Haemophilus	Haemophilus sputorum 20925_1_15
Leptotrichia_wadei_27098_8_16	Leptotrichia	Leptotrichia wadei 27098_8_16
Microbacterium_paraoxydans_27098_8_129	Microbacterium	Microbacterium paraoxydans 27098_8_129
Micrococcus_luteus_20925_1_46	Micrococcus	Micrococcus luteus 20925_1_46
Micrococcus_luteus_20925_1_52	Micrococcus	Micrococcus luteus 20925_1_52
Micrococcus_luteus_20925_1_61	Micrococcus	Micrococcus luteus 20925_1_61
Micrococcus_luteus_20925_1_89	Micrococcus	Micrococcus luteus 20925_1_89
Micrococcus_luteus_20925_1_90	Micrococcus	Micrococcus luteus 20925_1_90
Micrococcus_luteus_20925_1_94	Micrococcus	Micrococcus luteus 20925_1_94
Neisseria_subflava_20925_1_23	Neisseria	Neisseria flavescens 20925_1_23
Neisseria_subflava_20925_1_37	Neisseria	Neisseria n.sp. 20925_1_37
Neisseria_subflava_27098_8_112	Neisseria	Neisseria n.sp. 27098_8_112
Neisseria_subflava_27098_8_139	Neisseria	Neisseria n.sp. 27098_8_139
Neisseria_subflava_27098_8_142	Neisseria	Neisseria subflava 27098_8_142
