OTU,percentage_identity,isolate
Treponema_2_630,,no_isolate
Treponema_2_631,,no_isolate
Treponema_2_632,,no_isolate
Treponema_2_633,,no_isolate
Treponema_2_634,,no_isolate
Treponema_2_641,,no_isolate
Treponema_2_643,,no_isolate
Treponema_2_645,,no_isolate
Treponema_2_646,,no_isolate
Treponema_2_650,,no_isolate
Treponema_2_652,,no_isolate
Treponema_2_655,,no_isolate
Treponema_2_656,,no_isolate
Treponema_2_657,,no_isolate
Treponema_2_659,,no_isolate
Treponema_2_660,,no_isolate
Treponema_2_661,,no_isolate
Treponema_2_662,,no_isolate
Treponema_2_665,,no_isolate
Treponema_2_666,,no_isolate
Treponema_2_669,,no_isolate
Treponema_2_673,,no_isolate
Treponema_2_678,,no_isolate
Treponema_2_679,,no_isolate
Treponema_2_680,,no_isolate
Treponema_2_684,,no_isolate
Treponema_2_687,,no_isolate
Treponema_2_695,,no_isolate
Treponema_2_697,,no_isolate
Treponema_2_701,,no_isolate
Treponema_2_702,,no_isolate
Treponema_2_706,,no_isolate
Treponema_2_708,,no_isolate
Treponema_2_709,,no_isolate
Treponema_2_710,,no_isolate
Treponema_2_711,,no_isolate
Treponema_2_712,,no_isolate
Treponema_2_716,,no_isolate
Treponema_2_724,,no_isolate
Treponema_2_726,,no_isolate
Treponema_2_727,,no_isolate
[Eubacterium]_xylanophilum_group_807,,no_isolate
[Eubacterium]_hallii_group_813,,no_isolate
[Eubacterium]_hallii_group_816,,no_isolate
Coprococcus_2_817,,no_isolate
Anaerostipes_823,,no_isolate
Anaerostipes_824,,no_isolate
Defluviitaleaceae_UCG-011_828,,no_isolate
[Eubacterium]_ruminantium_group_833,,no_isolate
Lachnospiraceae_835,,no_isolate
Lachnospiraceae_UCG-001_836,,no_isolate
Lachnospiraceae_UCG-001_839,,no_isolate
Lachnospiraceae_UCG-001_841,,no_isolate
Lachnospiraceae_846,,no_isolate
Lachnospiraceae_ND3007_group_848,,no_isolate
[Eubacterium]_xylanophilum_group_856,,no_isolate
GCA-900066575_863,,no_isolate
Lachnospiraceae_865,,no_isolate
Ruminiclostridium_872,,no_isolate
Ruminiclostridium_873,,no_isolate
Ruminiclostridium_874,,no_isolate
Ruminiclostridium_875,,no_isolate
Ruminiclostridium_876,,no_isolate
Ruminiclostridium_880,,no_isolate
Oscillibacter_883,,no_isolate
Ruminococcaceae_885,,no_isolate
Oscillibacter_887,,no_isolate
Oscillibacter_889,,no_isolate
Oscillibacter_890,,no_isolate
Oscillibacter_892,,no_isolate
Oscillibacter_894,,no_isolate
Ruminococcaceae_898,,no_isolate
Ruminococcaceae_UCG-002_903,,no_isolate
Ruminococcaceae_UCG-002_905,,no_isolate
Ruminococcaceae_UCG-002_906,,no_isolate
Ruminococcaceae_UCG-002_907,,no_isolate
Ruminiclostridium_9_911,,no_isolate
Ruminococcaceae_914,,no_isolate
Ruminococcaceae_917,,no_isolate
Ruminococcaceae_921,,no_isolate
Ruminococcaceae_922,,no_isolate
Ruminococcaceae_923,,no_isolate
Flavonifractor_924,,no_isolate
Ruminococcaceae_925,,no_isolate
Ruminococcaceae_926,,no_isolate
Ruminococcaceae_928,,no_isolate
Butyricicoccus_934,,no_isolate
Ruminococcaceae_UCG-009_937,,no_isolate
Ruminiclostridium_9_938,,no_isolate
Ruminiclostridium_9_939,,no_isolate
Ruminococcaceae_UCG-005_947,,no_isolate
Ruminococcaceae_NK4A214_group_950,,no_isolate
Mucispirillum_989,,no_isolate
Christensenellaceae_R-7_group_1003,,no_isolate
Faecalibacterium_1013,,no_isolate
Faecalibacterium_1025,,no_isolate
Faecalibacterium_1027,,no_isolate
Faecalibacterium_1030,,no_isolate
Subdoligranulum_1036,,no_isolate
Subdoligranulum_1044,,no_isolate
Subdoligranulum_1048,,no_isolate
Ruminococcaceae_1053,,no_isolate
Ruminococcaceae_1062,,no_isolate
CAG-352_1069,,no_isolate
Ruminiclostridium_5_1076,,no_isolate
Ruminiclostridium_5_1080,,no_isolate
Ruminiclostridium_5_1081,,no_isolate
Ruminococcus_2_1083,,no_isolate
Ruminococcus_2_1086,,no_isolate
[Eubacterium]_coprostanoligenes_group_1092,,no_isolate
[Eubacterium]_coprostanoligenes_group_1096,,no_isolate
Ruminococcus_1_1102,,no_isolate
[Eubacterium]_coprostanoligenes_group_1107,,no_isolate
Clostridiales_vadinBB60_group_1112,,no_isolate
Christensenellaceae_R-7_group_1118,,no_isolate
Clostridium_sensu_stricto_1_1138,,no_isolate
Sarcina_1145,,no_isolate
Clostridiales_vadinBB60_group_1147,,no_isolate
Clostridiales_vadinBB60_group_1149,,no_isolate
Clostridiales_vadinBB60_group_1152,,no_isolate
Ruminococcaceae_UCG-014_1154,,no_isolate
Ruminococcaceae_UCG-014_1165,,no_isolate
Ruminococcaceae_UCG-014_1166,,no_isolate
Ruminococcaceae_UCG-014_1169,,no_isolate
Ruminococcaceae_UCG-014_1170,,no_isolate
Ruminococcaceae_UCG-014_1173,,no_isolate
Ruminococcaceae_UCG-014_1175,,no_isolate
Ruminococcaceae_UCG-014_1180,,no_isolate
Ruminococcaceae_UCG-014_1182,,no_isolate
Ruminococcaceae_UCG-014_1186,,no_isolate
Peptococcus_1208,,no_isolate
Alicyclobacillaceae_1210,,no_isolate
Gemmatirosa_1224,,no_isolate
Gemmatimonadaceae_1225,,no_isolate
Stenotrophomonas_1294,,no_isolate
Stenotrophomonas_1295,,no_isolate
