representative_ko,identical_to
K00003,K00640|K01738
K00014,K00891|K03524
K00021,K02246
K00029,K03269|K03814|K04084|K05788|K05807
K00030,K03098|K10822
K00041,K01051|K01235|K01811|K10297|K10710|K15532
K00043,K00453|K00822|K01295|K01556|K01561|K04127|K05782|K05834|K06995|K10234|K11325|K11472|K13021|K19338|K21007|K21174
K00045,K00752|K03815|K07057|K13057|K14666|K16556|K16703|K19615|K20263|K20832
K00052,K01649|K01703|K01704
K00053,K01653
K00055,K00365|K00483|K00594|K00686|K00839|K00978|K01136|K01213|K01308|K01466|K01567|K01852|K01994|K02103|K02239|K02249|K02277|K02383|K02488|K02490|K02491|K02545|K03409|K03410|K04769|K05303|K05518|K05519|K05739|K05793|K06012|K06208|K06283|K06284|K06294|K06295|K06296|K06297|K06299|K06300|K06301|K06302|K06303|K06304|K06305|K06306|K06308|K06314|K06315|K06317|K06318|K06324|K06327|K06328|K06329|K06332|K06333|K06334|K06343|K06344|K06345|K06348|K06370|K06371|K06375|K06378|K06379|K06380|K06382|K06383|K06386|K06387|K06390|K06391|K06392|K06393|K06394|K06395|K06396|K06397|K06401|K06403|K06404|K06405|K06406|K06407|K06408|K06411|K06416|K06418|K06421|K06423|K06425|K06426|K06428|K06429|K06431|K06434|K06436|K06439|K06440|K06595|K06882|K07181|K07182|K07406|K07692|K07697|K07703|K07721|K08138|K08164|K08222|K08323|K08713|K08982|K09388|K09682|K09697|K09764|K09770|K09776|K09779|K09846|K09969|K09970|K09972|K09994|K10188|K10189|K10190|K10544|K10709|K10711|K11184|K11201|K11249|K11441|K11629|K11635|K11636|K11640|K11641|K11923|K11925|K11947|K12283|K12529|K13069|K13274|K13275|K13487|K13530|K13532|K13533|K13668|K13831|K13854|K14591|K14986|K15531|K15897|K15898|K16188|K16199|K16201|K16210|K16260|K16263|K16326|K16331|K16694|K16697|K16698|K16699|K16705|K16706|K16838|K17195|K17234|K17235|K17236|K17266|K17311|K17462|K17463|K17467|K17752|K17762|K18115|K18149|K18197|K18198|K18316|K18457|K18476|K18565|K18673|K18907|K18939|K19048|K19062|K19190|K19417|K19426|K19504|K19506|K19507|K19508|K19509|K19510|K19575|K19997|K20109|K20430|K20977|K21023|K21192|K21288|K21298|K21457|K21459|K21467|K21468|K21487|K21724|K21793|K21900|K21960|K22396|K22510
K00060,K06888
K00064,K00276|K00360|K00803|K01120|K01729|K02616|K03333|K03418|K03435|K03918|K05281|K05979|K06159|K06161|K06859|K07020|K07178|K07190|K08080|K09164|K09251|K09927|K09932|K10233|K11954|K11955|K11956|K11958|K13006|K13063|K13767|K14469|K14952|K17292|K17329|K17330|K17331|K18070|K18334|K18614|K18833|K19954|K19978
K00073,K00086|K00179|K00198|K00533|K00544|K01601|K01848|K01849|K02251|K03389|K03390|K03620|K04034|K04107|K07099|K07123|K08308|K10796|K12528|K15226|K16887|K17062|K18348|K18475|K18556|K18814|K20452|K20987|K21134|K21479|K22446|K22482
K00087,K06298|K09777|K15515|K15845|K16200|K16202|K18590|K19449
K00090,K00126|K00253|K00256|K00372|K00451|K00457|K00472|K00479|K00480|K00499|K00500|K00507|K00808|K00846|K00870|K00906|K01086|K01115|K01178|K01241|K01432|K01451|K01458|K01461|K01474|K01483|K01555|K01578|K01608|K01640|K01706|K01707|K01724|K01796|K01799|K01800|K01801|K01826|K02043|K02182|K02225|K02258|K02280|K02287|K02298|K02300|K02305|K02381|K02386|K02393|K02394|K02402|K02403|K02452|K02462|K02463|K02615|K02625|K02641|K02651|K02659|K02660|K03119|K03185|K03192|K03219|K03222|K03225|K03230|K03365|K03414|K03464|K03516|K03520|K03669|K03670|K03712|K03774|K03818|K03852|K03894|K03896|K03919|K03926|K04033|K04054|K04055|K04090|K04110|K04343|K05375|K05548|K05561|K05562|K05773|K05774|K05780|K05781|K05836|K05875|K05928|K05962|K05973|K06045|K06134|K06151|K06152|K06163|K06164|K06165|K06166|K06222|K06349|K06446|K06858|K06953|K06989|K06991|K06992|K07044|K07050|K07068|K07100|K07157|K07165|K07168|K07183|K07216|K07232|K07233|K07239|K07246|K07255|K07256|K07264|K07288|K07303|K07336|K07395|K07518|K07576|K07679|K07687|K07690|K07708|K07710|K07716|K07786|K07788|K07789|K07799|K07806|K07810|K08169|K08173|K08196|K08227|K08295|K08319|K08691|K08720|K08721|K08728|K08983|K08995|K09122|K09165|K09386|K09456|K09461|K09478|K09882|K09883|K09913|K09919|K09922|K09928|K09933|K09939|K09950|K09954|K09957|K09960|K09961|K09965|K09981|K09989|K10001|K10002|K10004|K10011|K10125|K10126|K10220|K10531|K10774|K10775|K10817|K10831|K10844|K10857|K10917|K11021|K11177|K11178|K11250|K11473|K11477|K11525|K11527|K11688|K11746|K11811|K11937|K11952|K11953|K11959|K11960|K11961|K11962|K11963|K12073|K12146|K12263|K12266|K12443|K12449|K12678|K12957|K12972|K12977|K12978|K12979|K13003|K13014|K13040|K13041|K13053|K13243|K13255|K13481|K13482|K13489|K13491|K13574|K13609|K13635|K13641|K13655|K13656|K13766|K13778|K13779|K13790|K13795|K13875|K13876|K13877|K13889|K13891|K13932|K13933|K13935|K13995|K14261|K14387|K14446|K14449|K14578|K14581|K14750|K14974|K14979|K14987|K15011|K15012|K15234|K15315|K15329|K15359|K15511|K15512|K15513|K15514|K15551|K15552|K15576|K15578|K15579|K15672|K15725|K15765|K15945|K16074|K16090|K16165|K16171|K16267|K16422|K16842|K16844|K16874|K16875|K16879|K16885|K17060|K17061|K17222|K17223|K17224|K17225|K17226|K17227|K17247|K17285|K17321|K17322|K17323|K17324|K17325|K17362|K17749|K17837|K18028|K18029|K18030|K18140|K18294|K18295|K18296|K18299|K18301|K18324|K18326|K18336|K18360|K18425|K18480|K18567|K18661|K18700|K18778|K18793|K18794|K18800|K18841|K18844|K18900|K18901|K18902|K18903|K18912|K18973|K19057|K19058|K19191|K19210|K19211|K19212|K19273|K19279|K19318|K19321|K19621|K19623|K19624|K19713|K19795|K20023|K20172|K20207|K20256|K20319|K20453|K20542|K20552|K20940|K20963|K20975|K21009|K21033|K21084|K21087|K21140|K21181|K21277|K21324|K21332|K21558|K21607|K21645|K21700|K21703|K22003|K22067|K22186|K22187|K22209|K22229|K22293|K22294|K22333|K22351|K22369|K22507
