KO	symbol	name	module	pathways
K00001	E1.1.1.1, adh	alcohol dehydrogenase [EC:1.1.1.1]		map00010 Glycolysis / Gluconeogenesis,map00071 Fatty acid degradation,map00350 Tyrosine metabolism,map00620 Pyruvate metabolism,map00625 Chloroalkane and chloroalkene degradation,map00626 Naphthalene degradation,map00830 Retinol metabolism,map00980 Metabolism of xenobiotics by cytochrome P450,map00982 Drug metabolism - cytochrome P450,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01220 Degradation of aromatic compounds
K00003	hom	homoserine dehydrogenase [EC:1.1.1.3]	Methionine biosynthesis, aspartate => homoserine => methionine	map00260 Glycine, serine and threonine metabolism,map00270 Cysteine and methionine metabolism,map00300 Lysine biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01230 Biosynthesis of amino acids
K00004	BDH, butB	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]		map00650 Butanoate metabolism,map01110 Biosynthesis of secondary metabolites
K00005	gldA	glycerol dehydrogenase [EC:1.1.1.6]		map00561 Glycerolipid metabolism,map00640 Propanoate metabolism,map01100 Metabolic pathways
K00008	SORD, gutB	L-iditol 2-dehydrogenase [EC:1.1.1.14]	Glucuronate pathway (uronate pathway)	map00040 Pentose and glucuronate interconversions,map00051 Fructose and mannose metabolism,map01100 Metabolic pathways
K00009	mtlD	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]		map00051 Fructose and mannose metabolism,map01100 Metabolic pathways
K00010	iolG	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]		map00521 Streptomycin biosynthesis,map00562 Inositol phosphate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments
K00011	AKR1B	aldehyde reductase [EC:1.1.1.21]		map00040 Pentose and glucuronate interconversions,map00051 Fructose and mannose metabolism,map00052 Galactose metabolism,map00561 Glycerolipid metabolism,map00790 Folate biosynthesis,map01100 Metabolic pathways
K00012	UGDH, ugd	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	Glucuronate pathway (uronate pathway)	map00040 Pentose and glucuronate interconversions,map00053 Ascorbate and aldarate metabolism,map00520 Amino sugar and nucleotide sugar metabolism,map00541 O-Antigen nucleotide sugar biosynthesis,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors,map01250 Biosynthesis of nucleotide sugars
K00013	hisD	histidinol dehydrogenase [EC:1.1.1.23]	Histidine biosynthesis, PRPP => histidine	map00340 Histidine metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids
K00014	aroE	shikimate dehydrogenase [EC:1.1.1.25]	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	map00400 Phenylalanine, tyrosine and tryptophan biosynthesis,map00999 Biosynthesis of various plant secondary metabolites,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids
K00015	gyaR, GOR1	glyoxylate reductase [EC:1.1.1.26]		map00630 Glyoxylate and dicarboxylate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments
K00016	LDH, ldh	L-lactate dehydrogenase [EC:1.1.1.27]		map00010 Glycolysis / Gluconeogenesis,map00270 Cysteine and methionine metabolism,map00620 Pyruvate metabolism,map00640 Propanoate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map04066 HIF-1 signaling pathway,map04922 Glucagon signaling pathway,map05230 Central carbon metabolism in cancer
K00018	hprA	glycerate dehydrogenase [EC:1.1.1.29]	Formaldehyde assimilation, serine pathway	map00260 Glycine, serine and threonine metabolism,map00630 Glyoxylate and dicarboxylate metabolism,map00680 Methane metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00020	HIBADH, mmsB	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]		map00280 Valine, leucine and isoleucine degradation,map01100 Metabolic pathways
K00021	HMGCR	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	C5 isoprenoid biosynthesis, mevalonate pathway	map00900 Terpenoid backbone biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map04152 AMPK signaling pathway,map04976 Bile secretion
K00024	mdh	malate dehydrogenase [EC:1.1.1.37]	Citrate cycle (TCA cycle, Krebs cycle)	map00020 Citrate cycle (TCA cycle),map00270 Cysteine and methionine metabolism,map00620 Pyruvate metabolism,map00630 Glyoxylate and dicarboxylate metabolism,map00680 Methane metabolism,map00710 Carbon fixation in photosynthetic organisms,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00027	ME2, sfcA, maeA	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]		map00620 Pyruvate metabolism,map01200 Carbon metabolism,map02020 Two-component system
K00029	E1.1.1.40, maeB	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	CAM (Crassulacean acid metabolism), light	map00620 Pyruvate metabolism,map00710 Carbon fixation in photosynthetic organisms,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map03320 PPAR signaling pathway
K00030	IDH3	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	Citrate cycle (TCA cycle, Krebs cycle)	map00020 Citrate cycle (TCA cycle),map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids
K00031	IDH1, IDH2, icd	isocitrate dehydrogenase [EC:1.1.1.42]	Citrate cycle (TCA cycle, Krebs cycle)	map00020 Citrate cycle (TCA cycle),map00480 Glutathione metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids,map04146 Peroxisome,map05230 Central carbon metabolism in cancer
K00033	PGD, gnd, gntZ	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	Pentose phosphate pathway (Pentose phosphate cycle)	map00030 Pentose phosphate pathway,map00480 Glutathione metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00036	G6PD, zwf	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	Pentose phosphate pathway (Pentose phosphate cycle)	map00030 Pentose phosphate pathway,map00480 Glutathione metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map05230 Central carbon metabolism in cancer,map05415 Diabetic cardiomyopathy
K00040	uxuB	fructuronate reductase [EC:1.1.1.57]	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	map00040 Pentose and glucuronate interconversions,map01100 Metabolic pathways
K00041	uxaB	tagaturonate reductase [EC:1.1.1.58]	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	map00040 Pentose and glucuronate interconversions,map01100 Metabolic pathways
K00042	garR, glxR	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]		map00630 Glyoxylate and dicarboxylate metabolism,map01100 Metabolic pathways
K00043	gbd	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]		map00650 Butanoate metabolism,map01100 Metabolic pathways,map01200 Carbon metabolism
K00045	E1.1.1.67, mtlK	mannitol 2-dehydrogenase [EC:1.1.1.67]		map00051 Fructose and mannose metabolism,map01100 Metabolic pathways
K00048	fucO	lactaldehyde reductase [EC:1.1.1.77]		map00630 Glyoxylate and dicarboxylate metabolism,map00640 Propanoate metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments
K00052	leuB, IMDH	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	map00290 Valine, leucine and isoleucine biosynthesis,map00660 C5-Branched dibasic acid metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids
K00053	ilvC	ketol-acid reductoisomerase [EC:1.1.1.86]	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	map00290 Valine, leucine and isoleucine biosynthesis,map00770 Pantothenate and CoA biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids
K00054	mvaA	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	C5 isoprenoid biosynthesis, mevalonate pathway, archaea	map00900 Terpenoid backbone biosynthesis,map01110 Biosynthesis of secondary metabolites
K00055	E1.1.1.90	aryl-alcohol dehydrogenase [EC:1.1.1.90]	Xylene degradation, xylene => methylbenzoate	map00350 Tyrosine metabolism,map00360 Phenylalanine metabolism,map00622 Xylene degradation,map00623 Toluene degradation,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01220 Degradation of aromatic compounds
K00057	gpsA	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]		map00564 Glycerophospholipid metabolism,map01110 Biosynthesis of secondary metabolites
K00058	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	Serine biosynthesis, glycerate-3P => serine	map00260 Glycine, serine and threonine metabolism,map00270 Cysteine and methionine metabolism,map00680 Methane metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01230 Biosynthesis of amino acids
K00059	fabG, OAR1	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	Fatty acid biosynthesis, elongation	map00061 Fatty acid biosynthesis,map00333 Prodigiosin biosynthesis,map00780 Biotin metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01212 Fatty acid metabolism,map01240 Biosynthesis of cofactors
K00060	tdh	threonine 3-dehydrogenase [EC:1.1.1.103]		map00260 Glycine, serine and threonine metabolism,map01100 Metabolic pathways
K00064	E1.1.1.122	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]		map00051 Fructose and mannose metabolism,map00053 Ascorbate and aldarate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments
K00067	rfbD, rmlD	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	dTDP-L-rhamnose biosynthesis	map00521 Streptomycin biosynthesis,map00523 Polyketide sugar unit biosynthesis,map00541 O-Antigen nucleotide sugar biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01250 Biosynthesis of nucleotide sugars
K00073	allD	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]		map00230 Purine metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments
K00074	paaH, hbd, fadB, mmgB	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	map00360 Phenylalanine metabolism,map00362 Benzoate degradation,map00650 Butanoate metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00075	murB	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]		map00520 Amino sugar and nucleotide sugar metabolism,map00550 Peptidoglycan biosynthesis,map01100 Metabolic pathways,map01250 Biosynthesis of nucleotide sugars
K00077	panE, apbA	2-dehydropantoate 2-reductase [EC:1.1.1.169]	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	map00770 Pantothenate and CoA biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01240 Biosynthesis of cofactors
K00082	ribD2	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	map00740 Riboflavin metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01240 Biosynthesis of cofactors
K00086	dhaT	1,3-propanediol dehydrogenase [EC:1.1.1.202]		map00561 Glycerolipid metabolism,map00640 Propanoate metabolism,map01100 Metabolic pathways
K00087	ygeS, xdhA	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	Purine degradation, xanthine => urea	map00230 Purine metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01232 Nucleotide metabolism
K00088	IMPDH, guaB	IMP dehydrogenase [EC:1.1.1.205]	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	map00230 Purine metabolism,map00983 Drug metabolism - other enzymes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01232 Nucleotide metabolism
K00090	ghrB	glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]		map00030 Pentose phosphate pathway,map00260 Glycine, serine and threonine metabolism,map00620 Pyruvate metabolism,map00630 Glyoxylate and dicarboxylate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments
K00091	E1.1.1.219	dihydroflavonol-4-reductase [EC:1.1.1.219]		 
