KO	base_KO	symbol	name	module	pathways	n_isolates	Pauljensenia__(9)	Actinomyces__(15)	Staphy.+Nialla__(10)	Cupriayidus__(8)	Cutibacterium__(14)	Fusobacterium+Leptotrichia__(13)	Gemella__(5)	Granulicatella__(12)	Haemophilus__(11)	Micrococcus__(7)	Prevotella__(6)	Rothia__(4)	Strep.II__(2)	Strep.I__(1)	Veillonella__(3)
K00001	K00001	E1.1.1.1, adh	alcohol dehydrogenase [EC:1.1.1.1]	""	map00010 Glycolysis / Gluconeogenesis,map00071 Fatty acid degradation,map00350 Tyrosine metabolism,map00620 Pyruvate metabolism,map00625 Chloroalkane and chloroalkene degradation,map00626 Naphthalene degradation,map00830 Retinol metabolism,map00980 Metabolism of xenobiotics by cytochrome P450,map00982 Drug metabolism - cytochrome P450,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01220 Degradation of aromatic compounds	101	-1.398	-0.62	0.54	0.607	-1.334	-0.939	0.719	-0.314	-0.829	-0.223	-1.994	0.719	0.716	1.338	0.767
K00003	K00003	hom	homoserine dehydrogenase [EC:1.1.1.3]	Methionine biosynthesis, aspartate => homoserine => methionine	map00260 Glycine, serine and threonine metabolism,map00270 Cysteine and methionine metabolism,map00300 Lysine biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01230 Biosynthesis of amino acids	124	-0.562	-0.991	-0.562	-0.496	-0.991	-0.842	-0.386	-0.842	-0.638	-0.496	-1.96	-0.386	-0.034	0.208	-0.339
K00640	K00003	cysE	serine O-acetyltransferase [EC:2.3.1.30]	Cysteine biosynthesis, serine => cysteine	map00270 Cysteine and methionine metabolism,map00920 Sulfur metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01230 Biosynthesis of amino acids,map05111 Biofilm formation - Vibrio cholerae	124	-0.562	-0.991	-0.562	-0.496	-0.991	-0.842	-0.386	-0.842	-0.638	-0.496	-1.96	-0.386	-0.034	0.208	-0.339
K01738	K00003	cysK	cysteine synthase [EC:2.5.1.47]	Cysteine biosynthesis, serine => cysteine	map00270 Cysteine and methionine metabolism,map00920 Sulfur metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01230 Biosynthesis of amino acids	124	-0.562	-0.991	-0.562	-0.496	-0.991	-0.842	-0.386	-0.842	-0.638	-0.496	-1.96	-0.386	-0.034	0.208	-0.339
K00004	K00004	BDH, butB	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	""	map00650 Butanoate metabolism,map01110 Biosynthesis of secondary metabolites	78	-1.38	-0.926	0.939	0.593	-0.926	-0.525	0.73	0.653	-1.298	0.593	-1.518	1.123	0.807	0.293	-1.632
K00005	K00005	gldA	glycerol dehydrogenase [EC:1.1.1.6]	""	map00561 Glycerolipid metabolism,map00640 Propanoate metabolism,map01100 Metabolic pathways	48	-0.939	-0.501	0.222	-1.008	-0.501	-0.092	1.577	1.082	-0.861	-1.008	-1.068	-1.123	-0.418	1.201	-0.17
K00008	K00008	SORD, gutB	L-iditol 2-dehydrogenase [EC:1.1.1.14]	Glucuronate pathway (uronate pathway)	map00040 Pentose and glucuronate interconversions,map00051 Fructose and mannose metabolism,map01100 Metabolic pathways	92	0.278	0.28	0.715	0.782	0.28	-1.313	-0.142	-1.313	-1.538	0.782	-1.773	0.895	0.905	1.527	-1.899
K00009	K00009	mtlD	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	""	map00051 Fructose and mannose metabolism,map01100 Metabolic pathways	23	-0.496	1.381	1.886	-0.563	1.381	-0.214	1.344	0.987	-0.419	-0.134	-0.205	-0.674	-0.668	-0.936	-0.722
K00010	K00010	iolG	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	""	map00521 Streptomycin biosynthesis,map00562 Inositol phosphate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments	10	1.208	1.836	0.392	-0.158	1.836	0.189	-0.269	0.802	-0.015	0.309	-0.216	-0.269	-0.623	-0.87	-0.316
K00011	K00011	AKR1B	aldehyde reductase [EC:1.1.1.21]	""	map00040 Pentose and glucuronate interconversions,map00051 Fructose and mannose metabolism,map00052 Galactose metabolism,map00561 Glycerolipid metabolism,map00790 Folate biosynthesis,map01100 Metabolic pathways	4	0.299	0.729	0.299	0.809	0.729	0.579	0.123	0.579	0.375	1.947	0.175	0.123	-0.229	-0.472	0.076
