isolate,cluster,cluster_longname
Pauljensenia n.sp. 20925_1_25,9,Pauljensenia
Actinomyces naeslundii 27098_8_156,15,Actinomyces
Actinomyces oris 27098_8_157,15,Actinomyces
Niallia circulans 27098_8_36,10,Staphy.+Nialla
Cupriavidus gilardii 27098_8_120,8,Neisseria
Cutibacterium acnes 20925_1_38,14,Cutibacterium
Cutibacterium acnes 20925_1_68,14,Cutibacterium
Fusobacterium periodonticum 27098_8_131,13,Fusobacterium+Leptotrichia
Fusobacterium n.sp. 27098_8_59,13,Fusobacterium+Leptotrichia
Gemella n.sp. 20925_1_85,5,Gemella
Gemella n.sp. 27098_8_149,5,Gemella
Gemella n.sp. 27098_8_155,5,Gemella
Gemella n.sp. 27098_8_92,5,Gemella
Gemella sanguinis_ 20925_1_41,5,Gemella
Gemella sanguinis 20925_1_65,5,Gemella
Gemella sanguinis 20925_1_66,5,Gemella
Gemella sanguinis 27098_8_105,5,Gemella
Gemella sanguinis 27098_8_106,5,Gemella
Granulicatella adiacens 20925_1_19,12,Granulicatella
Granulicatella n.sp. 20925_1_28,12,Granulicatella
Granulicatella n.sp. 20925_1_45,12,Granulicatella
Haemophilus parahaemolyticus 27098_8_141,11,Haemophilus
Haemophilus n.sp. 27098_8_127,11,Haemophilus
Haemophilus parainfluenzae 27098_8_33,11,Haemophilus
Haemophilus paraphrohaemolyticus 27098_8_118,11,Haemophilus
Haemophilus sputorum 20925_1_15,11,Haemophilus
Leptotrichia wadei 27098_8_16,13,Fusobacterium+Leptotrichia
Microbacterium paraoxydans 27098_8_129,7,Micrococcus
Micrococcus luteus 20925_1_46,7,Micrococcus
Micrococcus luteus 20925_1_52,7,Micrococcus
Micrococcus luteus 20925_1_61,7,Micrococcus
Micrococcus luteus 20925_1_89,7,Micrococcus
Micrococcus luteus 20925_1_90,7,Micrococcus
Micrococcus luteus 20925_1_94,7,Micrococcus
Neisseria flavescens 20925_1_23,8,Neisseria
Neisseria n.sp. 20925_1_37,8,Neisseria
Neisseria n.sp. 27098_8_112,8,Neisseria
Neisseria n.sp. 27098_8_139,8,Neisseria
Neisseria subflava 27098_8_142,8,Neisseria
Neisseria n.sp. 27098_8_158,8,Neisseria
Prevotella histicola 20925_1_16,6,Prevotella
Prevotella jejuni 20925_1_32,6,Prevotella
Prevotella jejuni 27098_8_125,6,Prevotella
Prevotella melaninogenica 27098_8_100,6,Prevotella
Prevotella nigrescens 27098_8_132,6,Prevotella
Prevotella pallens 20925_1_50,6,Prevotella
Prevotella salivae 20925_1_83,6,Prevotella
Prevotella n.sp. 20925_1_30,6,Prevotella
Rothia aeria 27098_8_182,4,Rothia
Rothia dentocariosa 27098_8_144,4,Rothia
Rothia mucilaginosa 27098_8_135,4,Rothia
Rothia mucilaginosa 27098_8_136,4,Rothia
Rothia mucilaginosa 27098_8_145,4,Rothia
Rothia n.sp. 27098_8_161,4,Rothia
Rothia mucilaginosa 27098_8_172,4,Rothia
Rothia n.sp. 27098_8_27,4,Rothia
Rothia n.sp. 27098_8_29,4,Rothia
Pauljensenia n.sp. 20925_1_27,9,Pauljensenia
Pauljensenia n.sp. 20925_1_34,9,Pauljensenia
Pauljensenia n.sp. 20925_1_91,9,Pauljensenia
Pauljensenia n.sp. 27098_8_107,9,Pauljensenia
Pauljensenia n.sp. 27098_8_83,9,Pauljensenia
Staphylococcus aureus 27098_8_159,10,Staphy.+Nialla
Staphylococcus capitis 20925_1_63,10,Staphy.+Nialla
Staphylococcus capitis 27098_8_44,10,Staphy.+Nialla
Staphylococcus epidermidis 20925_1_31,10,Staphy.+Nialla
Staphylococcus epidermidis 20925_1_59,10,Staphy.+Nialla
Streptococcus chosunense 27098_8_53,2,Strep.II
Streptococcus n.sp. 27098_8_86,2,Strep.II
Streptococcus constellatus 20925_1_21,2,Strep.II
Streptococcus n.sp. 27098_8_113,1,Strep.I
Streptococcus n.sp. 27098_8_73,1,Strep.I
Streptococcus gordonii 27098_8_101,1,Strep.I
Streptococcus n.sp. 27098_8_75,1,Strep.I
Streptococcus n.sp. 20925_1_44,2,Strep.II
Streptococcus n.sp. 27098_8_22,2,Strep.II
Streptococcus n.sp. 27098_8_69,2,Strep.II
Streptococcus n.sp. 27098_8_91,2,Strep.II
Streptococcus n.sp. 20925_1_24,2,Strep.II
Streptococcus n.sp. 20925_1_69,2,Strep.II
Streptococcus n.sp. 27098_8_103,2,Strep.II
Streptococcus n.sp. 27098_8_109,2,Strep.II
Streptococcus n.sp. 27098_8_76,2,Strep.II
Streptococcus mitis 27098_8_87,2,Strep.II
Streptococcus mitis 27098_8_93,2,Strep.II
Streptococcus n.sp. 27098_8_23,2,Strep.II
Streptococcus n.sp. 27098_8_51,2,Strep.II
Streptococcus n.sp. 27098_8_70,2,Strep.II
Streptococcus parasanguinis 20925_1_10,1,Strep.I
Streptococcus n.sp. 20925_1_77,1,Strep.I
Streptococcus n.sp. 27098_8_12,1,Strep.I
Streptococcus parasanguinis 20925_1_143,1,Strep.I
Streptococcus n.sp. 27098_8_148,1,Strep.I
Streptococcus parasanguinis 27098_8_150,1,Strep.I
Streptococcus n.sp. 27098_8_177,1,Strep.I
Streptococcus n.sp. 27098_8_186,1,Strep.I
Streptococcus parasanguinis 27098_8_46,1,Strep.I
Streptococcus parasanguinis 27098_8_54,1,Strep.I
Streptococcus n.sp. 27098_8_66,1,Strep.I
Streptococcus n.sp. 27098_8_98,1,Strep.I
Streptococcus n.sp. 27098_8_99,1,Strep.I
Streptococcus anginosus 27098_8_173,2,Strep.II
Streptococcus pseudopneumoniae 20925_1_26,2,Strep.II
Streptococcus salivarius 20925_1_11,16,Strep.III
Streptococcus salivarius 20925_1_13,16,Strep.III
Streptococcus salivarius 27098_8_110,16,Strep.III
Streptococcus salivarius 27098_8_117,16,Strep.III
Streptococcus salivarius 27098_8_119,16,Strep.III
Streptococcus salivarius 27098_8_152,16,Strep.III
Streptococcus salivarius 27098_8_153,16,Strep.III
Streptococcus salivarius 27098_8_162,16,Strep.III
Streptococcus n.sp. 27098_8_74,16,Strep.III
Streptococcus n.sp. 20925_1_22,1,Strep.I
Streptococcus n.sp. 27098_8_134,1,Strep.I
Streptococcus sanguinis 27098_8_181,1,Strep.I
Streptococcus n.sp. 27098_8_82,1,Strep.I
Veillonella atypica 20925_1_29,3,Veillonella
Veillonella atypica 27098_8_102,3,Veillonella
Veillonella atypica 27098_8_30,3,Veillonella
Veillonella atypica 27098_8_52,3,Veillonella
Veillonella n.sp. 27098_8_77,3,Veillonella
Veillonella atypica 27098_8_79,3,Veillonella
Veillonella atypica 27098_8_81,3,Veillonella
Veillonella n.sp. 20925_1_51,3,Veillonella
Veillonella infantium 27098_8_111,3,Veillonella
Veillonella rogosae 27098_8_62,3,Veillonella
