site,module,module_longname
cf_lll,blue,blue (Streptococcus)
cf_lll,red,red (Haemophilus)
cf_lll,grey,grey
cf_lul,black,black (Gemella)
cf_lul,blue,blue (Porphyromonas)
cf_lul,brown,brown (Streptococcus)
cf_lul,green,green (Haemophilus)
cf_lul,greenyellow,greenyellow (Gemella)
cf_lul,magenta,magenta (Granulicatella)
cf_lul,pink,pink (Streptococcus)
cf_lul,red,red (Gemella)
cf_lul,tan,tan (Prevotella_7)
cf_lul,yellow,yellow (Neisseria)
cf_lul,grey,grey
cf_ots,black,black (Haemophilus)
cf_ots,blue,blue (Streptococcus)
cf_ots,brown,brown (Veillonella)
cf_ots,green,green (Neisseria)
cf_ots,greenyellow,greenyellow (Streptococcus)
cf_ots,magenta,magenta (Gemella)
cf_ots,pink,pink (Haemophilus)
cf_ots,purple,purple (Granulicatella)
cf_ots,red,red (Streptococcus)
cf_ots,turquoise,turquoise (Fretibacterium)
cf_ots,yellow,yellow (Fusobacterium)
cf_ots,grey,grey
bus_ots,black,black (Neisseria)
bus_ots,blue,blue (Streptococcus)
bus_ots,brown,brown (Fusobacterium)
bus_ots,green,green (Family_XIII)
bus_ots,turquoise,turquoise (Prevotella_6)
bus_ots,yellow,yellow (Streptococcus)
bus_ots,grey,grey
