"","source","target","type"
"1","Xylitol","SORD","->"
"2","D-Sorbitol","SORD","->"
"3","Xylitol","AKR1B","<->"
"4","Glycine","DLD","<->"
"5","L-Glutamate","GLUD1_2","<->"
"6","D-Sorbitol","AKR1B","<->"
"7","(S)-3-Hydroxyisobutyrate","HIBADH","<->"
"8","3-Methyl-2-oxobutanoic-acid","ilvE","<->"
"9","L-Leucine","ilvE","<->"
"10","(S)-3-Methyl-2-oxopentanoic-acid","ilvE","<->"
"11","4-Methyl-2-oxopentanoate","ilvE","<->"
"12","5'-Methylthioadenosine","mtaP","->"
"13","5-Oxoproline","OPLAH","->"
"14","Adenine","punA","<->"
"15","L-Alanine","GPT","<->"
"16","L-Asparagine","ASRGL1","->"
"17","cis-Aconitate","ACO","<->"
"18","Citrate","RIMKLB","->"
"19","Citrate","ACO","<->"
"20","L-Arginine","GATM","<->"
"21","Folate","DHFR","<->"
"22","L-Glutamate","FTCD","<->"
"23","L-Glutamine","glsA","->"
"24","L-Glutamine","pyrG","->"
"25","L-Glutamine","asnB","->"
"26","L-Glutamine","guaA","->"
"27","Glutathione-disulfide","gpx","<->"
"28","Glutathione-disulfide","GSR","->"
"29","D-Glycerate","ALDH","<->"
"30","Glycerol","AKR1B","->"
"31","L-Histidine","hdc","->"
"32","Hypoxanthine","punA","<->"
"33","Inosine","punA","<->"
"34","L-Isoleucine","ilvE","<->"
"35","Pyruvate","GPT","<->"
"36","(S)-Malate","maeA","->"
"37","(S)-Malate","maeB","->"
"38","L-Methionine","metK","->"
"39","Nicotinamide","punA","<->"
"40","L-Ornithine","rocD","<->"
"41","L-Glutamate","E1.2.1.88","<->"
"42","Pantothenate","PANK1_2_3","->"
"43","L-Proline","proC","<->"
"44","L-Proline","PRODH","->"
"45","Pyridoxine","pdxH","<->"
"46","Pyridoxal","pdxH","<->"
"47","L-Serine","AGXT","<->"
"48","L-Serine","glyA","<->"
"49","L-Serine","CBS","->"
"50","Glycine","AGXT","<->"
"51","Glycine","glyA","<->"
"52","Thiamine","thiN","->"
"53","Thymidine","deoA","->"
"54","Uridine","udp","<->"
"55","Uridine","udk","->"
"56","L-Valine","ilvE","<->"
"57","Xanthine","punA","<->"
"58","Xanthosine","punA","<->"
"59","L-Alanine","AGXT","->"
"60","Glycine","gcvT","<->"
"61","L-Glutamine","glmS","->"
"62","Pyruvate","PDHA","->"
"63","Pyruvate","PDHB","->"
"64","L-Kynurenine","KYNU","->"
"65","Pyruvate","LDH","<->"
"66","(S)-Lactate","LDH","<->"
"67","(S)-Malate","FH","<->"
"68","L-Ornithine","ODC1","->"
"69","3-Methyl-2-oxobutanoic-acid","BCKDHB","->"
"70","3-Methyl-2-oxobutanoic-acid","BCKDHA","->"
"71","(S)-3-Methyl-2-oxopentanoic-acid","BCKDHB","->"
"72","(S)-3-Methyl-2-oxopentanoic-acid","BCKDHA","->"
"73","L-Glutamate","glnA","->"
"74","4-Methyl-2-oxopentanoate","BCKDHB","->"
"75","4-Methyl-2-oxopentanoate","BCKDHA","->"
"76","sn-Glycerol-3-phosphate","glpA","<->"
"77","Glycine","GLDC","<->"
"78","L-Ornithine","OTC","->"
"79","Citrate","CS","<->"
"80","L-Cysteine","CTH","<->"
"81","Pyruvate","CTH","<->"
"82","Hypoxanthine","hprT","<->"
"83","myo-Inositol","CDIPT","->"
"84","Thymidine","tdk","->"
"85","Xanthine","hprT","<->"
"86","Acetoacetate","OXCT","<->"
"87","Acetoacetate","AACS","<->"
"88","L-Glutamate","GAD","->"
"89","L-Arginine","arg","->"
"90","L-Arginine","E4.1.1.19","->"
"91","Choline","betA","->"
"92","D-Fructose","KHK","->"
"93","L-Arginine","argH","<->"
"94","Pyruvate","PC","->"
"95","Glycine","GATM","->"
"96","D-Glycerate","gck","->"
"97","Glycerol","glpK","->"
"98","Glycine","ALAS","->"
"99","L-Histidine","hutH","->"
"100","L-Glutamine","purF","->"
"101","L-Tryptophan","TDO2","->"
"102","3-(4-Hydroxyphenyl)pyruvate","HPD","->"
"103","L-Proline","P4HA","->"
"104","L-Phenylalanine","phhA","->"
"105","Glycine","kbl","<->"
"106","Pyridoxal","pdxK","->"
"107","Pyridoxine","pdxK","->"
"108","Creatine","E2.7.3.2","<->"
"109","L-Glutamate","gltX","->"
"110","L-Cysteine","iscS","->"
