PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,KEGG,                               Group   HMDB_ID
75,2-aminoadipate,Amino Acid,Lysine Metabolism,6146,GC/MS,381,1686.5,260.1,542-32-5;1118-90-7;,469,C00956,HMDB00510
251,2-hydroxy-3-methylvalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",36746,LC/MS Neg,100001541,1787,131.1,488-15-3;,164623,,HMDB00317
280,2-hydroxybutyrate (AHB),Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",21044,GC/MS,100000933,1169.4,131,3347-90-8;,440864,C05984,HMDB00008
1043,2-hydroxyglutarate,Lipid,"Fatty Acid, Dicarboxylate",37253,GC/MS,100002070,1576,247,40951-21-1;,43,C02630,HMDB00606
246,2-methylbutyrylcarnitine (C5),Amino Acid,"Leucine, Isoleucine and Valine Metabolism",35431,LC/MS Pos,100001509,2439,246.1,31023-25-3;,6426901,,HMDB00378
114,3-(4-hydroxyphenyl)lactate,Amino Acid,Phenylalanine and Tyrosine Metabolism,32197,LC/MS Neg,240,1395,181.1,6482-98-0;,9378,C03672,HMDB00755
252,3-hydroxy-2-ethylpropionate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",32397,GC/MS,100001170,1269,247.1,4374-62-3;,188979,,HMDB00396
189,3-hydroxyanthranilate,Amino Acid,Tryptophan Metabolism,32353,LC/MS Pos,243,2280,154.1,548-93-6;,86,C00632,HMDB01476
1159,3-hydroxybutyrate (BHBA),Lipid,Ketone Bodies,542,GC/MS,254,1203.5,116.9,625-72-9;,441,C01089,HMDB00357
1171,3-hydroxydecanoate,Lipid,"Fatty Acid, Monohydroxy",22053,LC/MS Neg,100000997,4681,187.2,5561-87-5;,26612,,HMDB02203
260,3-hydroxyisobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",1549,GC/MS,111,1205,177.11,2068-83-9;,11966314,C06001,HMDB00336
257,3-methyl-2-oxobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",21047,LC/MS Neg,100000936,1489,115.1,3715-29-5;,49,C00141,HMDB00019
245,3-methyl-2-oxovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",15676,LC/MS Neg,100000036,2106,129.2,51829-07-3;,47,C00671,HMDB03736
344,4-guanidinobutanoate,Amino Acid,Guanidino and Acetamido Metabolism,15681,LC/MS Pos,100000096,1085,146.1,463-003;463-00-3;,500,C01035,HMDB03464
113,4-hydroxyphenylpyruvate,Amino Acid,Phenylalanine and Tyrosine Metabolism,1669,LC/MS Neg,1141,1716,179.1,156-39-8;,979,C01179,HMDB00707
218,4-methyl-2-oxopentanoate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",22116,LC/MS Neg,100000551,2200,129.2,816-66-0;,70,C00233,HMDB00695
335,5-methylthioadenosine (MTA),Amino Acid,Polyamine Metabolism,1419,LC/MS Pos,212,2427,298.1,2457-80-9;,439176,C00170,HMDB01173
354,5-oxoproline,Amino Acid,Glutathione Metabolism,1494,LC/MS Neg,1021,744,128.2,98-79-3;,7405,C01879,HMDB00267
1157,acetoacetate,Lipid,Ketone Bodies,33963,GC/MS,1218,1285,231.1,3483-11-2;,96,C00164,HMDB00060
1138,acetylcarnitine,Lipid,Fatty Acid Metabolism(Acyl Carnitine),32198,LC/MS Pos,100000802,1203,204.2,5080-50-2;,1,C02571,HMDB00201
2048,adenine,Nucleotide,"Purine Metabolism, Adenine containing",554,LC/MS Pos,880,1003,136.1,73-24-5;,190,C00147,HMDB00034
24,alanine,Amino Acid,Alanine and Aspartate Metabolism,1126,GC/MS,811,1147.6,115.9,56-41-7;,5950,C00041,HMDB00161
261,alpha-hydroxyisocaproate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",22132,LC/MS Neg,100000706,1854,131.2,10303-64-7;,83697,C03264,HMDB00746
233,alpha-hydroxyisovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",33937,GC/MS,100001300,1208,145.1,600-37-3;,99823,,HMDB00407
911,alpha-ketoglutarate,Energy,TCA Cycle,33453,GC/MS,93,1779,419.1,305-72-6;328-50-7;22202-68-2;,51,C00026,HMDB00208
2238,alpha-lipoate,Cofactors and Vitamins,Lipoate Metabolism,15305,LC/MS Neg,100000141,3637,205.1,1077-28-7;,864,C00725,HMDB01451
187,anthranilate,Amino Acid,Tryptophan Metabolism,4970,LC/MS Pos,1258,3213,138.1,118-92-3;,227,C00108,HMDB01123
