COMP_ID,A_d0,A_d0,A_d0,A_d0,A_d2,A_d2,A_d2,A_d2,A_d3,A_d3,A_d3,A_d3,A_d7,A_d7,A_d7,A_d7,A_d14,A_d14,A_d14,A_d14,A_d21,A_d21,A_d21,A_d21,A_d28,A_d28,A_d28,A_d28,B_Ctrl_0h,B_Ctrl_0h,B_Ctrl_0h,B_Ctrl_0h,B_Ctrl_12h,B_Ctrl_12h,B_Ctrl_12h,B_Ctrl_12h,B_Ctrl_24h,B_Ctrl_24h,B_Ctrl_24h,B_Ctrl_24h,B_Stim_0h,B_Stim_0h,B_Stim_0h,B_Stim_0h,B_Stim_12h,B_Stim_12h,B_Stim_12h,B_Stim_12h,B_Stim_24h,B_Stim_24h,B_Stim_24h,B_Stim_24h,C_Ctrl_0h,C_Ctrl_0h,C_Ctrl_0h,C_Ctrl_0h,C_Ctrl_12h,C_Ctrl_12h,C_Ctrl_12h,C_Ctrl_12h,C_Ctrl_24h,C_Ctrl_24h,C_Ctrl_24h,C_Ctrl_24h,C_Stim_0h,C_Stim_0h,C_Stim_0h,C_Stim_0h,C_Stim_12h,C_Stim_12h,C_Stim_12h,C_Stim_12h,C_Stim_24h,C_Stim_24h,C_Stim_24h,C_Stim_24h
6146,23850,14341,18264,,244752,126577,301461,161396,291639,372016,277132,194705,324600,,214660,165998,116727,55022,118981,127131,130916,195063,145144,168003,102415,,114473,106766,,,8969,8400,100860,78715,,49185,70925,,79230,94941,26548,,,16112,118169,109513,58845,70846,210241,123941,133723,126688,,,,,,,32587,,35442,,,,,,,,,,,,,,,
36746,,,,,3076,4328,3465,,4223,4928,4328,6150,4453,3469,5906,5151,4434,4690,3765,4328,,3422,5353,3034,,,,3348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21044,,,,,,,,,107640,47333,119285,,109516,141427,117223,102180,189040,138030,133398,118240,113828,262196,147750,168730,170255,237333,191928,214883,,,,,152590,117806,,,,133209,174378,130995,,,,,,58357,118370,135423,,156528,133020,,,57102,,,,,,,,,,,,,,,,,,,,75477,,
37253,20023,,,,57528,42111,42111,59778,51371,47338,70721,53919,86640,61126,79862,76023,95458,73540,105635,83400,100381,95601,114422,120487,94673,74304,54753,89063,,,,,26260,,31819,42111,,26432,36410,24237,,,,,42374,14217,23926,39524,41849,48392,73479,58452,37128,16615,,,32222,11161,11766,28761,27558,,20741,16646,2462,,,16325,,12013,,19512,,22867,24596,20427
35431,,,,,,,,,13595,19348,17135,11445,34121,,11684,20441,18701,21812,14456,19159,28533,19212,21561,15980,19995,,25007,21590,17117,,29126,22563,,,,,,,,,,,,,,,,,,,,19537,,,,,,,,,,,,,,,,,,,,19150,,,,
32197,3676,,3010,3458,67751,57081,62489,54027,75500,77470,89891,81608,144374,119645,130779,106033,122003,101613,131701,102096,147462,112627,138971,119777,93390,80737,86413,74926,,,,,32711,32081,27524,26937,59004,52065,64240,67751,,,,,38371,27148,32006,33448,59938,58031,67751,65623,,,,,,,,,,,,,,,,,,,,,,,,
32397,,2611,,,9924,21876,30241,29611,,33914,28893,32446,32916,40901,39414,58015,64536,74271,58407,88886,48884,101355,67903,110293,56046,70479,65809,64890,,,,,84675,49723,53674,57372,77207,95677,71140,116049,,,,,58015,66308,57623,48511,164246,114610,92130,118803,,2470,,,,,,5905,,,,,,,,,,,,,,,,
32353,,,,,,,,,27652,18600,,,52349,32525,,,,,,,45966,49157,,15484,41433,,,,,,,,,,,,,,,,,,,,130986,103074,15798,49157,646996,444923,82517,259064,,,,,,,,,,,,,,,,,,,,,,,,
542,304025,199947,198385,209033,1433699,1433699,1433699,1433699,1815305,2203750,1723421,1997974,3786993,4330420,3082557,3153647,6145561,5795613,4590778,5772333,6362676,8334392,4990170,6924843,5344496,5657431,4466075,5239564,194485,133583,97600,208940,3962245,4256829,2472018,3416403,5349197,6177599,4801127,5767811,325959,153224,177857,154817,4931536,4818987,3535197,4339493,7114810,8727799,5878177,7538080,285728,154928,180782,238039,413057,247595,231514,386399,474392,500849,398395,307425,186124,212880,138806,211671,422039,328486,317505,381533,460280,530302,402504,362381
22053,,,,,5810,5590,7316,5315,4838,8167,9485,6713,5362,5158,4838,4522,2226,2289,,,,,,,,,,,,,,,3385,4838,,3557,5066,4223,4667,5154,,,,2766,2628,,,,,3638,2955,,,,,,,,,,,,,,,,,,,,,,,,,
