# emapper version: emapper-1.0.3-40-g41a8498 emapper DB: 2.0
# command: ./emapper.py  -i Microbacterium_paraoxydans_27098_8_129/annotation/Microbacterium_paraoxydans_27098_8_129.faa --output Microbacterium_paraoxydans_27098_8_129/Microbacterium_paraoxydans_27098_8_129.eggnog -m diamond -d bact --override
# time: Mon Oct 26 01:22:15 2020
#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction
FPBCOPFK_00001	1416752.AYME01000007_gene1409	4.7e-105	387.1	Microbacteriaceae	tag		3.2.2.20	ko:K01246	ko03410,map03410				ko00000,ko00001,ko01000,ko03400				Bacteria	2IFH0@201174,4FNIQ@85023,COG2818@1,COG2818@2	NA|NA|NA	L	Methyladenine glycosylase
FPBCOPFK_00002	1416752.AYME01000007_gene1408	1.4e-196	692.2	Microbacteriaceae													Bacteria	2GIW5@201174,4FM8Q@85023,COG0515@1,COG0515@2	NA|NA|NA	KLT	Protein tyrosine kinase
FPBCOPFK_00003	1416752.AYME01000007_gene1407	0.0	3546.9	Microbacteriaceae				ko:K20276	ko02024,map02024				ko00000,ko00001				Bacteria	2GMKC@201174,4FKWD@85023,COG4733@1,COG4733@2	NA|NA|NA	S	Fibronectin type 3 domain
FPBCOPFK_00004	1416752.AYME01000007_gene1406	2.2e-179	634.8	Microbacteriaceae				ko:K03924					ko00000,ko01000				Bacteria	2GK07@201174,4FMEG@85023,COG0714@1,COG0714@2	NA|NA|NA	S	ATPase family associated with various cellular activities (AAA)
FPBCOPFK_00005	1416752.AYME01000007_gene1405	1.1e-221	775.8	Microbacteriaceae													Bacteria	2GIWE@201174,4FKRH@85023,COG1721@1,COG1721@2	NA|NA|NA	S	Protein of unknown function DUF58
FPBCOPFK_00006	1416752.AYME01000007_gene1404	0.0	1411.7	Microbacteriaceae													Bacteria	2IAJ0@201174,4FM4G@85023,COG1305@1,COG1305@2	NA|NA|NA	E	Transglutaminase-like superfamily
FPBCOPFK_00007	1416752.AYME01000007_gene1403	3.6e-147	528.5	Microbacteriaceae													Bacteria	2IN59@201174,4FP6S@85023,COG1716@1,COG1716@2,COG3266@1,COG3266@2	NA|NA|NA	T	FHA domain
FPBCOPFK_00008	1416752.AYME01000007_gene1402	7e-142	510.0	Microbacteriaceae			3.1.3.16	ko:K01090,ko:K20074					ko00000,ko01000,ko01009				Bacteria	2IIBK@201174,4FNQ4@85023,COG0631@1,COG0631@2	NA|NA|NA	T	Serine/threonine phosphatases, family 2C, catalytic domain
FPBCOPFK_00012	1416752.AYME01000007_gene1399	1e-200	706.1	Microbacteriaceae				ko:K14645,ko:K14743	ko02024,map02024				ko00000,ko00001,ko01000,ko01002,ko03110				Bacteria	2GIRE@201174,4FK62@85023,COG1404@1,COG1404@2	NA|NA|NA	O	Subtilase family
FPBCOPFK_00013	1416752.AYME01000007_gene1398	3.1e-248	864.0	Microbacteriaceae	eccB												Bacteria	2GP1Z@201174,4FRJE@85023,COG3266@1,COG3266@2	NA|NA|NA	S	Type VII secretion system ESX-1, transport TM domain B
