OTU	isolate	Genus	lable	percentage_identity	alignment_length
JF097002.1.1358	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	99.034	207
KF030212.1.1494	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	96.618	207
AF385521.1.1532	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	98.068	207
1e8c6a2b8b8c14f65215aa476a11ecfdebb0856a	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	96.135	207
JQ468822.1.1431	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	99.517	207
AKGF01000038.28.1549	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	96.618	207
KF101668.1.1358	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	100	207
AQHZ01000031.142.1681	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	98.068	207
faee831881bb11c753c893f01992490034279816	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	96.135	207
CP012072.1336545.1338099	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	98.551	207
9018dc35f09ff9270b146ff84bd65c909a56e85b	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	95.652	207
JF150656.1.1355	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	99.034	207
HQ758211.1.1442	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	99.034	207
X80411.1.1415	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	98.551	207
JQ460237.1.1233	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	99.034	207
JQ477027.1.1419	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	95.192	208
JQ451922.1.1426	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	97.101	207
0dac249e22aa5eb2290c4e5010d6c544caba09ad	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	96.618	207
JQ466973.1.1413	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	96.618	207
CP012590.1917683.1919248	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	95.169	207
KR364730.1.1403	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	96.135	207
JX548344.1.1521	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	96.618	207
AF385504.1.1539	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	99.517	207
HK555370.10.1536	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	97.585	207
