KO	base_KO	name	symbol	n_isolates	perc_isolates	module	pathways	Actinomyces__(15)	Cutibacterium__(14)	Fusobacterium+Leptotrichia__(13)	Gemella__(5)	Granulicatella__(12)	Haemophilus__(11)	Micrococcus__(7)	Neisseria__(8)	Pauljensenia__(9)	Prevotella__(6)	Rothia__(4)	Staphy.+Nialla__(10)	Strep.I__(1)	Strep.II__(2)	Strep.III__(16)	Veillonella__(3)
K00001	K00001	alcohol dehydrogenase [EC:1.1.1.1]	E1.1.1.1, adh	101	80.159		map00010 Glycolysis / Gluconeogenesis,map00071 Fatty acid degradation,map00350 Tyrosine metabolism,map00620 Pyruvate metabolism,map00625 Chloroalkane and chloroalkene degradation,map00626 Naphthalene degradation,map00830 Retinol metabolism,map00980 Metabolism of xenobiotics by cytochrome P450,map00982 Drug metabolism - cytochrome P450,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01220 Degradation of aromatic compounds	-0.62	-1.334	-0.939	0.719	-0.314	-0.829	-0.223	0.607	-1.398	-1.994	0.719	0.54	1.134	0.716	0.719	0.767
K00003	K00003	homoserine dehydrogenase [EC:1.1.1.3]	hom	124	98.413	Methionine biosynthesis, aspartate => homoserine => methionine	map00260 Glycine, serine and threonine metabolism,map00270 Cysteine and methionine metabolism,map00300 Lysine biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01230 Biosynthesis of amino acids	-0.991	-0.991	-0.842	-0.386	-0.842	-0.638	-0.496	-0.496	-0.562	-1.96	-0.386	-0.562	0.016	-0.034	-0.386	-0.339
K00640	K00003	serine O-acetyltransferase [EC:2.3.1.30]	cysE	124	98.413	Cysteine biosynthesis, serine => cysteine	map00270 Cysteine and methionine metabolism,map00920 Sulfur metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01230 Biosynthesis of amino acids,map05111 Biofilm formation - Vibrio cholerae	-0.991	-0.991	-0.842	-0.386	-0.842	-0.638	-0.496	-0.496	-0.562	-1.96	-0.386	-0.562	0.016	-0.034	-0.386	-0.339
K01738	K00003	cysteine synthase [EC:2.5.1.47]	cysK	124	98.413	Cysteine biosynthesis, serine => cysteine	map00270 Cysteine and methionine metabolism,map00920 Sulfur metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01230 Biosynthesis of amino acids	-0.991	-0.991	-0.842	-0.386	-0.842	-0.638	-0.496	-0.496	-0.562	-1.96	-0.386	-0.562	0.016	-0.034	-0.386	-0.339
K00004	K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	BDH, butB	78	61.905		map00650 Butanoate metabolism,map01110 Biosynthesis of secondary metabolites	-0.926	-0.926	-0.525	0.73	0.653	-1.298	0.593	0.593	-1.38	-1.518	1.123	0.939	0.87	0.807	-0.553	-1.632
K00005	K00005	glycerol dehydrogenase [EC:1.1.1.6]	gldA	48	38.095		map00561 Glycerolipid metabolism,map00640 Propanoate metabolism,map01100 Metabolic pathways	-0.501	-0.501	-0.092	1.577	1.082	-0.861	-1.008	-1.008	-0.939	-1.068	-1.123	0.222	1.006	-0.418	1.188	-0.17
K00008	K00008	L-iditol 2-dehydrogenase [EC:1.1.1.14]	SORD, gutB	92	73.016	Glucuronate pathway (uronate pathway)	map00040 Pentose and glucuronate interconversions,map00051 Fructose and mannose metabolism,map01100 Metabolic pathways	0.28	0.28	-1.313	-0.142	-1.313	-1.538	0.782	0.782	0.278	-1.773	0.895	0.715	1.317	0.905	0.895	-1.899
K00009	K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	mtlD	23	18.254		map00051 Fructose and mannose metabolism,map01100 Metabolic pathways	1.381	1.381	-0.214	1.344	0.987	-0.419	-0.134	-0.563	-0.496	-0.205	-0.674	1.886	-0.724	-0.668	-0.674	-0.722
K00010	K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	iolG	10	7.937		map00521 Streptomycin biosynthesis,map00562 Inositol phosphate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments	1.836	1.836	0.189	-0.269	0.802	-0.015	0.309	-0.158	1.208	-0.216	-0.269	0.392	-0.675	-0.623	-0.269	-0.316
K00011	K00011	aldehyde reductase [EC:1.1.1.21]	AKR1B	4	3.175		map00040 Pentose and glucuronate interconversions,map00051 Fructose and mannose metabolism,map00052 Galactose metabolism,map00561 Glycerolipid metabolism,map00790 Folate biosynthesis,map01100 Metabolic pathways	0.729	0.729	0.579	0.123	0.579	0.375	1.947	0.809	0.299	0.175	0.123	0.299	-0.28	-0.229	0.123	0.076
